Seed_ID,x,y,Treatment
1,80,100,Untreated
2,171,100,Treated
3,262,100,Untreated
4,354,100,Untreated
5,445,100,Untreated
6,537,100,Untreated
7,628,100,Untreated
8,720,100,Treated
9,130,220,Treated
10,220,220,Untreated
11,310,220,Untreated
12,400,220,Treated
13,490,220,Treated
14,580,220,Untreated
15,670,220,Untreated
16,80,340,Treated
17,171,340,Treated
18,262,340,Treated
19,354,340,Treated
20,445,340,Treated
21,537,340,Treated
22,628,340,Treated
23,720,340,Treated
24,130,460,Untreated
25,220,460,Treated
26,310,460,Untreated
27,400,460,Untreated
28,490,460,Treated
29,580,460,Untreated
30,670,460,Untreated
