dish,seed_id,treatment,start_date,start_time,germination_date,germination_time
Dish_A,Dish_A_01,Treated,20260223,1000,20260227,2007
Dish_A,Dish_A_02,Treated,20260223,1000,,
Dish_A,Dish_A_03,Treated,20260223,1000,20260226,1314
Dish_A,Dish_A_04,Treated,20260223,1000,20260225,2304
Dish_A,Dish_A_05,Treated,20260223,1000,20260228,1501
Dish_A,Dish_A_06,Treated,20260223,1000,20260301,0624
Dish_A,Dish_A_07,Treated,20260223,1000,20260226,1954
Dish_A,Dish_A_08,Treated,20260223,1000,20260228,0839
Dish_A,Dish_A_09,Treated,20260223,1000,20260225,0625
Dish_A,Dish_A_10,Treated,20260223,1000,,
Dish_A,Dish_A_11,Treated,20260223,1000,20260227,0658
Dish_A,Dish_A_12,Treated,20260223,1000,20260228,0121
Dish_A,Dish_A_13,Treated,20260223,1000,20260227,0442
Dish_A,Dish_A_14,Treated,20260223,1000,20260227,0550
Dish_A,Dish_A_15,Treated,20260223,1000,20260225,0252
Dish_A,Dish_A_16,Untreated,20260223,1000,20260226,0423
Dish_A,Dish_A_17,Untreated,20260223,1000,20260226,1937
Dish_A,Dish_A_18,Untreated,20260223,1000,,
Dish_A,Dish_A_19,Untreated,20260223,1000,20260227,1145
Dish_A,Dish_A_20,Untreated,20260223,1000,20260228,1433
Dish_A,Dish_A_21,Untreated,20260223,1000,20260224,2207
Dish_A,Dish_A_22,Untreated,20260223,1000,20260228,0444
Dish_A,Dish_A_23,Untreated,20260223,1000,20260226,0730
Dish_A,Dish_A_24,Untreated,20260223,1000,,
Dish_A,Dish_A_25,Untreated,20260223,1000,,
Dish_A,Dish_A_26,Untreated,20260223,1000,20260301,1736
Dish_A,Dish_A_27,Untreated,20260223,1000,20260228,1032
Dish_A,Dish_A_28,Untreated,20260223,1000,20260226,2008
Dish_A,Dish_A_29,Untreated,20260223,1000,20260228,0041
Dish_A,Dish_A_30,Untreated,20260223,1000,,
Dish_B,Dish_B_01,Treated,20260223,1000,20260228,1228
Dish_B,Dish_B_02,Treated,20260223,1000,20260227,1605
Dish_B,Dish_B_03,Treated,20260223,1000,20260225,1044
Dish_B,Dish_B_04,Treated,20260223,1000,20260228,2314
Dish_B,Dish_B_05,Treated,20260223,1000,20260228,1336
Dish_B,Dish_B_06,Treated,20260223,1000,,
Dish_B,Dish_B_07,Treated,20260223,1000,,
Dish_B,Dish_B_08,Treated,20260223,1000,20260227,0137
Dish_B,Dish_B_09,Treated,20260223,1000,20260226,0539
Dish_B,Dish_B_10,Treated,20260223,1000,20260227,1529
Dish_B,Dish_B_11,Treated,20260223,1000,20260302,0316
Dish_B,Dish_B_12,Treated,20260223,1000,20260225,1356
Dish_B,Dish_B_13,Treated,20260223,1000,20260226,0516
Dish_B,Dish_B_14,Treated,20260223,1000,20260228,0953
Dish_B,Dish_B_15,Treated,20260223,1000,,
Dish_B,Dish_B_16,Untreated,20260223,1000,,
Dish_B,Dish_B_17,Untreated,20260223,1000,,
Dish_B,Dish_B_18,Untreated,20260223,1000,20260226,0937
Dish_B,Dish_B_19,Untreated,20260223,1000,20260228,1516
Dish_B,Dish_B_20,Untreated,20260223,1000,20260226,0555
Dish_B,Dish_B_21,Untreated,20260223,1000,20260226,0724
Dish_B,Dish_B_22,Untreated,20260223,1000,,
Dish_B,Dish_B_23,Untreated,20260223,1000,20260301,0041
Dish_B,Dish_B_24,Untreated,20260223,1000,20260227,2102
Dish_B,Dish_B_25,Untreated,20260223,1000,20260228,2055
Dish_B,Dish_B_26,Untreated,20260223,1000,,
Dish_B,Dish_B_27,Untreated,20260223,1000,,
Dish_B,Dish_B_28,Untreated,20260223,1000,20260226,1305
Dish_B,Dish_B_29,Untreated,20260223,1000,20260228,1547
Dish_B,Dish_B_30,Untreated,20260223,1000,20260228,0810
Dish_C,Dish_C_01,Treated,20260223,1000,,
Dish_C,Dish_C_02,Treated,20260223,1000,20260227,2007
Dish_C,Dish_C_03,Treated,20260223,1000,20260227,1939
Dish_C,Dish_C_04,Treated,20260223,1000,20260228,1019
Dish_C,Dish_C_05,Treated,20260223,1000,,
Dish_C,Dish_C_06,Treated,20260223,1000,20260301,2142
Dish_C,Dish_C_07,Treated,20260223,1000,20260301,1313
Dish_C,Dish_C_08,Treated,20260223,1000,20260227,2121
Dish_C,Dish_C_09,Treated,20260223,1000,,
Dish_C,Dish_C_10,Treated,20260223,1000,,
Dish_C,Dish_C_11,Treated,20260223,1000,20260227,2344
Dish_C,Dish_C_12,Treated,20260223,1000,20260302,0522
Dish_C,Dish_C_13,Treated,20260223,1000,20260226,1501
Dish_C,Dish_C_14,Treated,20260223,1000,20260226,0228
Dish_C,Dish_C_15,Treated,20260223,1000,20260226,0547
Dish_C,Dish_C_16,Untreated,20260223,1000,20260227,1810
Dish_C,Dish_C_17,Untreated,20260223,1000,,
Dish_C,Dish_C_18,Untreated,20260223,1000,20260301,0042
Dish_C,Dish_C_19,Untreated,20260223,1000,20260228,1618
Dish_C,Dish_C_20,Untreated,20260223,1000,20260225,2312
Dish_C,Dish_C_21,Untreated,20260223,1000,20260225,2203
Dish_C,Dish_C_22,Untreated,20260223,1000,20260228,1734
Dish_C,Dish_C_23,Untreated,20260223,1000,,
Dish_C,Dish_C_24,Untreated,20260223,1000,20260227,0409
Dish_C,Dish_C_25,Untreated,20260223,1000,20260226,1111
Dish_C,Dish_C_26,Untreated,20260223,1000,,
Dish_C,Dish_C_27,Untreated,20260223,1000,20260228,1714
Dish_C,Dish_C_28,Untreated,20260223,1000,,
Dish_C,Dish_C_29,Untreated,20260223,1000,,
